header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
99,1,1.6333333333,-5.05081478351360e-11,-2.41005169005572e-09,0.6158770498,1.79565248143869e-11,1.19079058781194e-07,1,-8.57883549528429e-10
100,1,1.65,-5.02493938689845e-11,-2.39802711982943e-09,0.6186398892,1.79046330387789e-11,9.78908366266194e-08,1,-8.56549855582605e-10
101,1,1.6666666667,-4.98970448467457e-11,-2.38152505070930e-09,0.621293966,1.76444253045589e-11,7.74664280274411e-08,1,-8.45187377139408e-10
102,1,1.6833333333,-4.94523991821865e-11,-2.36060191656570e-09,0.6238409347,1.71873437599887e-11,5.77937022025008e-08,1,-8.24326110689152e-10
103,1,1.7,-4.89177859866368e-11,-2.33536387257814e-09,0.6262824835,1.65478229843592e-11,3.88600389252352e-08,1,-7.94641549550529e-10
104,1,1.7166666667,-4.82964917560800e-11,-2.30596336757420e-09,0.6286203311,1.57428439828292e-11,2.06523773796682e-08,1,-7.56933501884482e-10
105,1,1.7333333333,-4.75926735656481e-11,-2.27259505805915e-09,0.6308562242,1.47914685678112e-11,3.15726288516309e-09,1,-7.12103922032431e-10
106,1,1.75,-4.68112611496593e-11,-2.23549117708883e-09,0.6329919352,1.37143631561936e-11,-1.36391085041733e-08,1,-6.61134223349636e-10
107,1,1.7666666667,-4.59578503095194e-11,-2.19491647434483e-09,0.6350292593,1.25333244536068e-11,-2.97508474303694e-08,1,-6.05062529772674e-10
108,1,1.7833333333,-4.50385900967159e-11,-2.15116284462931e-09,0.6369700122,1.12708109174723e-11,-4.51923306006163e-08,1,-5.44961300398480e-10
109,1,1.8,-4.40600661962218e-11,-2.10454376063466e-09,0.6388160279,9.94949114689859e-12,-5.99781622415000e-08,1,-4.81915663277499e-10
110,1,1.8166666667,-4.30291828590561e-11,-2.05538862265023e-09,0.6405691565,8.59181911760869e-12,-7.41231373645807e-08,1,-4.17002868649195e-10
111,1,1.8333333333,-4.19530456078403e-11,-2.00403713259066e-09,0.6422312615,7.21963583824202e-12,-8.76422069107512e-08,1,-3.51273165212411e-10
112,1,1.85,-4.08388468065985e-11,-1.95083379281317e-09,0.6438042183,5.85380817053442e-12,-1.00550444703006e-07,1,-2.85732345616771e-10
113,1,1.8666666667,-3.96937560042664e-11,-1.89612262194946e-09,0.6452899115,4.51390825747373e-12,-1.12863016165934e-07,1,-2.21326132179838e-10
114,1,1.8833333333,-3.85248167572261e-11,-1.84024217071718e-09,0.6466902336,3.21793701257463e-12,-1.24595148731926e-07,1,-1.58926663193331e-10
115,1,1.9,-3.73388514127987e-11,-1.78352091010322e-09,0.6480070822,1.98209468254715e-12,-1.35762103883500e-07,1,-9.93211630741064e-11
116,1,1.9166666667,-3.61423750979969e-11,-1.72627305317567e-09,0.6492423589,8.20594198866633e-13,-1.46379150808462e-07,1,-4.32028353282010e-11
117,1,1.9333333333,-3.49415199330767e-11,-1.66879486034566e-09,0.6503979673,-2.54475378734731e-13,-1.56461541592514e-07,1,8.83596959274600e-12
118,1,1.95,-3.37419702332573e-11,-1.61136146615425e-09,0.6514758109,-1.23323617926094e-12,-1.66024487897364e-07,1,5.63083328479280e-11
119,1,1.9666666667,-3.25489092070168e-11,-1.55422425388294e-09,0.6524777917,-2.10806473879372e-12,-1.75083139098865e-07,1,9.88350306932016e-11
120,1,1.9833333333,-3.13669774264534e-11,-1.49760879233177e-09,0.6534058087,-2.87359241185002e-12,-1.83652561791034e-07,1,1.36144843244464e-10
121,1,2,-3.02002431189681e-11,-1.44171333859941e-09,0.6542617561,-3.52666339735081e-12,-1.91747720635715e-07,1,1.68072804709469e-10
122,1,2.0166666667,-2.90521841054524e-11,-1.38670789991841e-09,0.655047522,-4.06625295762996e-12,-1.99383460518141e-07,1,1.94556610162972e-10
